nickyname,gender,age,stereoacuity,maineye
pesuidemeng,0,21,6,-1
shenshihui,0,21,7,-1
chen,0,21,7,1
leery24,1,22,9,1
whk990,1,26,6,1
wzxsjdt,1,24,8,1
fjz1124,1,25,8,1
609lab,0,24,3,1
sunmin,0,25,8,1
Jenna,0,24,6,-1
Frank,1,24,8,1
wizard,1,22,7,-1
zhd_1225,1,26,8,1
cjlumei,1,27,8,-1
joe w,1,21,8,-1
cz5196,1,24,9,1
suchen,1,23,7,1
zhili1,1,24,6,1
zjzz123,0,24,7,1
123123,1,25,9,1
dsfgjig,0,23,8,1
chong,0,22,5,-1
knight,1,24,8,1
cxqjiafeimao,0,24,8,1
mrfranken,1,24,6,1
3dvqa,1,45,6,1
pesuidemeng,0,21,6,-1